[2021-12-16 19:15:33][INFO][tid:5707][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8002
[2021-12-16 19:15:38][INFO][tid:5707][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:15:39][INFO][tid:5707][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8002
[2021-12-16 19:15:52][INFO][tid:5855][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8002
[2021-12-16 19:15:57][INFO][tid:5855][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:15:57][INFO][tid:5855][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8002
[2021-12-16 19:15:59][INFO][tid:5855][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:15:59][INFO][tid:5855][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:16:00][INFO][tid:5855][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8002
[2021-12-16 19:16:51][INFO][tid:5855][master_basical.cpp(290):masterhandler]delete normal cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:16:54][INFO][tid:5855][master_basical.cpp(357):masterhandler]delete unhealthy cache : ip = 127.0.0.1, port = 8002
[2021-12-16 19:17:00][INFO][tid:5855][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:17:00][INFO][tid:5855][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:20:10][INFO][tid:6341][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:20:13][INFO][tid:6341][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:20:13][INFO][tid:6341][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:20:16][INFO][tid:6341][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8002
[2021-12-16 19:20:17][INFO][tid:6341][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:20:17][INFO][tid:6341][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:20:45][INFO][tid:6341][master_basical.cpp(290):masterhandler]delete normal cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:20:55][INFO][tid:6341][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:20:55][INFO][tid:6341][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:20:56][INFO][tid:6341][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8002
[2021-12-16 19:21:12][INFO][tid:6341][master_basical.cpp(357):masterhandler]delete unhealthy cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:21:12][INFO][tid:6341][master_basical.cpp(357):masterhandler]delete unhealthy cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:21:17][INFO][tid:6341][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:21:17][INFO][tid:6341][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8002
[2021-12-16 19:21:18][INFO][tid:6341][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:21:38][INFO][tid:6554][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:21:39][INFO][tid:6554][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:21:39][INFO][tid:6554][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:21:40][INFO][tid:6554][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8002
[2021-12-16 19:21:41][INFO][tid:6554][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:21:41][INFO][tid:6554][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:25:00][INFO][tid:6729][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:25:02][INFO][tid:6729][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:25:03][INFO][tid:6729][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:25:04][INFO][tid:6729][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8002
[2021-12-16 19:25:04][INFO][tid:6729][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:25:05][INFO][tid:6729][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:25:28][INFO][tid:6729][master_basical.cpp(290):masterhandler]delete normal cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:26:51][INFO][tid:6729][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:26:51][INFO][tid:6729][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8002
[2021-12-16 19:26:52][INFO][tid:6729][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:27:17][INFO][tid:6729][master_basical.cpp(357):masterhandler]delete unhealthy cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:27:18][INFO][tid:6729][master_basical.cpp(357):masterhandler]delete unhealthy cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:31:18][INFO][tid:6729][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:31:19][INFO][tid:6729][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8002
[2021-12-16 19:31:19][INFO][tid:6729][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
